#{"t_start": 1679522697.2647512, "env_id": "CarRacing-v0"}
r,l,t
788.888889,1000,66.209827
927.8,722,115.374203
930.3,697,155.812369
106.349206,1000,221.869195
912.1,879,277.293431
796.825397,1000,340.463808
876.190476,1000,401.70439
956.1,439,430.049086
900.9,991,491.443272
836.507937,1000,554.425146
953.2,468,576.405571
646.031746,1000,640.09013
916.3,837,695.656821
884.126984,1000,758.636078
946.9,531,791.148487
946.4,536,824.053087
876.190476,1000,887.098581
939.7,603,923.778033
828.571429,1000,986.850863
947.8,522,1019.972834
952.3,477,1051.038079
903.9,961,1113.003272
917.4,826,1176.129269
915.1,849,1224.965297
956.5,435,1254.407831
368.253968,1000,1320.184253
948.0,520,1354.767031
519.047619,1000,1420.522409
966.5,335,1445.034522
962.1,379,1463.042139
962.6,374,1494.165718
963.3,367,1523.897718
951.5,485,1557.355428
828.571429,1000,1622.980585
209.52381,1000,1689.176923
952.1,479,1719.843504
966.8,332,1736.462691
962.1,379,1763.418856
957.6,424,1792.294094
590.47619,1000,1856.920021
954.5,455,1886.460266
965.0,350,1903.294627
852.380952,1000,1967.245732
946.2,538,2000.284911
