#{"t_start": 1679579456.5438492, "env_id": "CarRacing-v0"}
r,l,t
43.333333,1000,45.177949
155.66343,1000,85.711017
56.028369,1000,129.452857
41.955836,1000,173.128167
6.164384,1000,217.043212
-77.186312,1000,261.984346
-82.758621,1000,307.550612
-80.89172,1000,352.539968
-80.13245,1000,397.840428
-80.0,1000,444.03358
-87.767584,1000,490.233373
-80.582524,1000,535.458315
-78.33935,1000,581.206793
-81.538462,1000,628.742044
-80.707395,1000,676.092634
-81.927711,1000,721.817565
-79.72973,1000,768.168189
-76.190476,1000,813.100414
-78.647687,1000,859.587924
-81.132075,1000,905.404773
-77.52809,1000,952.813854
-81.060606,1000,994.051861
-64.84375,1000,1039.906423
-78.658537,1000,1085.284849
-78.647687,1000,1131.704355
-83.050847,1000,1177.583863
-74.110032,1000,1224.152421
-80.456026,1000,1270.804747
-81.308411,1000,1316.727766
-71.875,1000,1362.582613
-79.661017,1000,1408.03842
-77.198697,1000,1453.632056
-76.190476,1000,1503.993574
-76.821192,1000,1549.791146
-81.060606,1000,1598.788966
-75.438596,1000,1644.38294
-78.417266,1000,1694.272063
-78.787879,1000,1741.369411
-81.549815,1000,1789.708601
-77.941176,1000,1839.770597
-82.517483,1000,1886.833313
-85.915493,1000,1934.737697
-81.273408,1000,1976.661478
-75.708502,1000,2028.050254
-76.284585,1000,2097.588988
-74.545455,1000,2162.017526
-69.491525,1000,2225.902898
-84.423676,1000,2291.591184
-79.72973,1000,2360.126549
-77.443609,1000,2425.692783
-79.865772,1000,2487.537296
-75.945017,1000,2552.023958
-81.481481,1000,2611.491691
-79.452055,1000,2671.071293
-83.388704,1000,2731.776821
-72.222222,1000,2791.684159
-68.965517,1000,2852.579325
-77.859779,1000,2913.599363
-85.130112,1000,2974.747193
-81.25,1000,3035.55391
-76.833977,1000,3097.053517
-75.862069,1000,3158.698709
-74.440895,1000,3219.999828
-79.79798,1000,3272.026837
-78.798587,1000,3331.312799
-80.952381,1000,3391.763646
-82.993197,1000,3452.570107
-78.947368,1000,3520.108657
-83.277592,1000,3579.430171
-81.481481,1000,3640.277471
-81.617647,1000,3702.651443
-80.830671,1000,3763.47509
-81.538462,1000,3823.692548
-78.723404,1000,3885.411146
-87.261146,1000,3945.264458
-83.388704,1000,4005.41882
-85.915493,1000,4069.924834
-82.698962,1000,4126.952164
-80.19802,1000,4183.206172
-78.798587,1000,4240.008097
-73.880597,1000,4295.915307
-80.19802,1000,4351.109917
-78.125,1000,4407.886435
-85.795455,1000,4466.462677
-59.677419,1000,4523.153918
-83.108108,1000,4574.858342
-80.327869,1000,4630.70849
