#{"t_start": 1679656571.187383, "env_id": "CarRacing-v0"}
r,l,t
7.023411,1000,47.911837
-62.686567,1000,90.321018
-31.147541,1000,136.750042
-78.494624,1000,189.373745
-81.412639,1000,246.613459
-66.101695,1000,303.336611
-37.086093,1000,364.86838
-54.248366,1000,426.602182
97.231834,1000,486.094828
27.659574,1000,537.842145
31.832797,1000,586.32158
324.615385,1000,635.820116
234.459459,1000,686.458464
152.788104,1000,734.740832
165.780731,1000,782.916794
174.914089,1000,835.603696
105.533597,1000,887.509411
55.405405,1000,936.513695
31.578947,1000,984.675493
-64.285714,1000,1037.278096
252.159468,1000,1092.584157
-47.882736,1000,1146.656577
49.206349,1000,1203.747132
300.0,1000,1259.444573
381.617647,1000,1316.907576
391.22807,1000,1373.164186
90.789474,1000,1429.699174
450.161812,1000,1485.982991
343.333333,1000,1542.392961
223.076923,1000,1597.629673
-11.864407,1000,1653.97778
