#{"t_start": 1679529352.5535915, "env_id": "CarRacing-v0"}
r,l,t
17.753623,1000,50.458513
561.137441,1000,99.212566
147.540984,1000,149.512262
185.932722,1000,200.235226
249.282297,1000,249.646673
297.394137,1000,303.851087
307.407407,1000,355.787274
71.610169,1000,407.23556
34.935305,1000,459.41511
143.150685,1000,511.265397
158.957655,1000,563.205392
209.42623,1000,616.973416
442.635659,1000,669.325347
37.735849,1000,721.239557
285.869565,1000,774.031081
244.720497,1000,826.600615
213.840156,1000,879.067671
340.0,1000,933.920375
188.934426,1000,986.416239
309.638554,1000,1039.493637
186.440678,1000,1092.836944
192.035398,1000,1140.062081
387.427466,1000,1191.679455
281.180223,1000,1244.265835
433.213645,1000,1297.348152
145.315162,1000,1351.083294
104.658902,1000,1405.802426
321.538462,1000,1461.040628
275.215146,1000,1514.193908
117.573222,1000,1567.936399
186.384977,1000,1620.69877
506.122449,1000,1673.332314
412.733447,1000,1725.765387
232.01581,1000,1778.666304
340.074906,1000,1833.140873
235.889571,1000,1883.952093
382.965932,1000,1935.953549
401.838235,1000,1986.910136
502.362205,1000,2038.635213
308.928571,1000,2091.050191
405.882353,1000,2143.759851
370.468432,1000,2198.666153
435.849057,1000,2245.871901
457.34767,1000,2297.518759
197.619048,1000,2349.598218
448.828125,1000,2402.112636
517.821782,1000,2453.660533
392.779783,1000,2506.959585
284.10596,1000,2558.277296
336.363636,1000,2609.777178
216.071429,1000,2661.866843
465.591398,1000,2714.062971
453.113553,1000,2764.788085
421.65725,1000,2815.39336
94.444444,1000,2868.546254
329.003021,1000,2922.698405
176.255708,1000,2975.115867
224.840764,1000,3027.022206
322.459893,1000,3078.357505
451.934827,1000,3130.287654
165.682657,1000,3181.757288
344.88189,1000,3233.326159
163.399694,1000,3285.575139
428.650647,1000,3331.688887
527.218935,1000,3384.204436
222.299652,1000,3435.271382
284.044527,1000,3487.30881
189.393939,1000,3539.212293
282.77512,1000,3591.504627
505.603448,1000,3644.471112
633.183857,1000,3696.592185
441.841004,1000,3748.922774
137.606838,1000,3801.70698
381.818182,1000,3854.440904
110.884354,1000,3909.20879
293.312102,1000,3961.672431
132.323232,1000,4014.019175
200.699301,1000,4065.257891
157.410296,1000,4117.033236
270.106762,1000,4169.500191
191.882556,1000,4221.046534
428.625954,1000,4272.723586
330.107527,1000,4324.993591
200.0,1000,4376.792457
196.803653,1000,4428.573376
106.039076,1000,4474.837821
193.103448,1000,4527.606332
364.944649,1000,4580.184961
277.295492,1000,4631.68498
26.984127,1000,4683.218971
224.951644,1000,4734.975611
89.035917,1000,4786.950226
275.321337,1000,4838.201723
320.39356,1000,4890.221597
131.884058,1000,4941.185307
289.496718,1000,4993.080844
128.29582,1000,5046.716266
216.532258,1000,5098.038252
158.126195,1000,5149.583513
112.224109,1000,5201.487255
-80.03992,1000,5253.756998
117.171717,1000,5305.993175
182.051282,1000,5359.916856
264.452424,1000,5412.754964
461.068702,1000,5464.11514
269.685767,1000,5516.196524
319.106317,1000,5563.473261
214.332248,1000,5614.761153
385.089463,1000,5667.129413
140.174672,1000,5719.887483
172.419628,1000,5772.271577
338.752784,1000,5825.576863
184.926471,1000,5876.291306
81.089744,1000,5929.392601
137.918216,1000,5979.975457
380.392157,1000,6031.545753
61.08453,1000,6083.605583
146.376812,1000,6137.983416
209.931507,1000,6190.292803
30.514706,1000,6242.157676
125.91944,1000,6294.489998
53.543307,1000,6349.089501
297.637795,1000,6403.401619
364.285714,1000,6456.671764
42.574257,1000,6508.416739
