#{"t_start": 1679614350.5633385, "env_id": "CarRacing-v0"}
r,l,t
-75.285171,1000,47.39195
-62.719298,1000,92.433741
-77.366255,1000,138.074283
-47.033898,1000,185.032119
-64.980545,1000,231.998741
-44.186047,1000,278.616791
-47.183099,1000,328.721373
-44.444444,1000,385.969915
21.008403,1000,438.52768
37.931034,1000,489.125237
-3.814262,1000,539.617947
10.552764,1000,590.265135
103.219316,1000,639.903264
131.578947,1000,688.12514
23.966942,1000,738.130507
9.89011,1000,788.61177
122.707424,1000,837.965507
63.179916,1000,888.368032
-35.135135,1000,938.95845
72.727273,1000,991.884156
59.13556,1000,1044.126792
96.721311,1000,1090.60577
112.890625,1000,1140.99163
-9.638554,1000,1190.926297
72.8,1000,1241.196102
91.33574,1000,1293.36027
30.990415,1000,1343.28974
229.067642,1000,1394.135146
10.03861,1000,1444.514281
123.790323,1000,1495.231251
35.94041,1000,1545.975527
31.799163,1000,1596.940468
297.959184,1000,1645.871897
-6.25,1000,1696.513981
20.092379,1000,1746.024034
8.294931,1000,1795.541008
88.866799,1000,1845.732186
40.549273,1000,1894.764654
104.437401,1000,1946.127034
23.861566,1000,1995.958147
52.917505,1000,2047.35462
156.619145,1000,2099.88348
-7.54717,1000,2146.796909
61.885246,1000,2197.369742
196.01518,1000,2248.514376
3.960396,1000,2300.6547
112.355212,1000,2352.056829
-40.809969,1000,2402.404217
262.962963,1000,2459.70186
110.157618,1000,2526.177836
154.032258,1000,2586.353966
101.096892,1000,2649.619974
10.912343,1000,2712.443124
216.393443,1000,2777.139864
10.032362,1000,2845.315475
142.314647,1000,2911.238115
30.859375,1000,2979.39956
479.081633,1000,3054.501348
49.384886,1000,3131.491141
64.179104,1000,3197.323799
-22.442676,437,3228.174972
186.290323,1000,3291.067907
15.99297,1000,3358.273258
91.780822,1000,3426.275234
241.818182,1000,3496.022485
245.826235,1000,3565.389142
13.243762,1000,3632.763075
319.222904,1000,3706.8692
46.252285,1000,3782.059624
228.85906,1000,3859.698693
266.459627,1000,3944.268687
319.483101,1000,4027.2028
241.719078,1000,4112.012381
17.001828,1000,4197.234515
-2.192243,1000,4279.025308
83.884298,1000,4356.293721
262.763916,1000,4433.935551
115.568862,1000,4512.017516
