#{"t_start": 1679527629.0745564, "env_id": "CarRacing-v0"}
r,l,t
301.215805,1000,54.69023
170.700637,1000,104.373267
651.592357,1000,151.925933
858.90411,1000,199.717057
373.154362,1000,246.393388
850.570342,1000,292.792351
508.108108,1000,340.368912
876.190476,1000,389.292862
848.096886,1000,437.585878
893.220339,1000,485.175157
568.810289,1000,534.271476
859.51417,1000,582.101963
889.169675,1000,630.032003
876.923077,1000,678.081582
862.711864,1000,725.214151
882.698962,1000,772.484328
742.44373,1000,821.542095
853.23741,1000,869.897775
892.727273,1000,917.96132
873.180077,1000,966.421767
902.3,977,1011.460641
911.9,881,1054.255807
886.622074,1000,1102.424463
893.485342,1000,1150.694608
889.247312,1000,1198.866805
882.638889,1000,1246.297977
853.79538,1000,1294.171396
871.014493,1000,1342.182937
573.400673,1000,1390.221548
777.887789,1000,1437.641503
428.813559,1000,1486.085259
