#{"t_start": 1679525511.2719398, "env_id": "CarRacing-v0"}
r,l,t
685.714286,1000,62.141915
355.621302,1000,121.982307
183.950617,1000,182.665411
838.271605,1000,246.47805
527.218935,1000,317.421985
747.457627,1000,380.059411
629.508197,1000,441.607327
747.457627,1000,505.572618
708.0,1000,568.41624
692.682927,1000,630.300527
915.8,842,684.756145
812.280702,1000,746.318676
908.4,916,797.04178
866.386555,1000,860.657928
696.460177,1000,922.870204
760.655738,1000,984.79342
826.470588,1000,1044.660479
770.37037,1000,1104.333629
856.896552,1000,1165.708398
839.849624,1000,1223.392515
794.736842,1000,1283.006644
857.264957,1000,1341.949889
883.739837,1000,1401.534002
915.9,841,1453.014386
756.0,1000,1519.941348
858.333333,1000,1572.642802
841.176471,1000,1630.552722
925.2,748,1677.844687
744.827586,1000,1738.864347
564.383562,1000,1796.157707
738.983051,1000,1855.186096
620.930233,1000,1913.886027
