#{"t_start": 1679654572.2805042, "env_id": "CarRacing-v0"}
r,l,t
-50.331126,1000,52.558766
-85.865724,1000,99.614766
-76.821192,1000,147.421736
-85.294118,1000,197.392985
-83.870968,1000,247.539733
-83.766234,1000,301.919643
-81.617647,1000,352.078827
-84.025559,1000,401.784769
-82.578397,1000,450.76895
-82.758621,1000,499.18315
-86.754967,1000,549.348926
-85.815603,1000,598.150483
-66.56535,1000,648.824935
-82.578397,1000,701.347528
-77.635783,1000,752.801155
-84.076433,1000,804.018274
-82.269504,1000,854.898481
-82.638889,1000,908.881605
-80.392157,1000,959.115929
-81.060606,1000,1008.443863
-82.394366,1000,1058.455307
-85.865724,1000,1104.623696
-85.507246,1000,1156.047249
-82.876712,1000,1211.108789
-85.454545,1000,1263.407798
-79.452055,1000,1315.602437
-79.381443,1000,1369.974787
-81.949458,1000,1419.116031
-82.206406,1000,1468.698709
-81.884058,1000,1521.673442
-87.381703,1000,1573.462069
