#{"t_start": 1679519325.4369955, "env_id": "CarRacing-v0"}
r,l,t
-25.506555,1000,65.499233
19.189511,1000,132.720871
135.399285,1000,203.093174
141.35876,1000,273.309349
150.297974,1000,344.962303
-16.567342,1000,418.965567
-64.243147,1000,493.472941
81.764005,1000,570.143272
438.754112,827,636.332703
429.554112,919,713.37358
209.892729,1000,785.085478
442.154112,793,849.936507
254.588796,1000,914.2344
153.277712,1000,975.352481
433.354112,881,1028.752508
437.754112,837,1076.031761
461.254112,602,1111.689702
454.054112,674,1154.746702
443.854112,776,1198.635134
451.054112,704,1243.002946
278.426698,1000,1302.862892
453.854112,676,1343.185696
37.067938,1000,1405.952654
409.535161,1000,1468.321977
441.254112,802,1513.887096
472.554112,489,1543.013677
99.642431,1000,1602.081489
452.954112,685,1649.780723
468.854112,526,1682.363101
472.054112,494,1713.203765
464.554112,569,1746.874338
456.354112,651,1784.209029
465.454112,560,1817.899955
467.754112,537,1849.393062
444.554112,769,1896.876476
473.754112,477,1926.143928
466.754112,547,1958.311831
482.154112,393,1978.968647
482.254112,392,2004.886829
484.554112,369,2028.911754
487.454112,340,2050.733962
